Date,auction_name,contract,auction_price_eur,auction_volume_tco2,total_revenue_eur,cover_ratio,country,source,source_url
2021-07-09,Auction 4. Period DE,T3PA,53.85,2651000,142756350.0,1.57,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-12,Auction 4. Period CAP3 EU,T3PA,52.5,3288500,172646250.0,1.94,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-13,Auction 4. Period CAP3 EU,T3PA,52.44,3288500,172448940.0,1.56,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-14,Auction 4. Period CAP3 PL,T3PA,52.0,2575000,133900000.0,1.58,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-15,Auction 4. Period CAP3 EU,T3PA,52.28,3288500,171922780.0,1.43,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-16,Auction 4. Period DE,T3PA,53.33,2651000,141377830.0,1.42,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-19,Auction 4. Period CAP3 EU,T3PA,53.55,3288500,176099175.0,1.43,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-20,Auction 4. Period CAP3 EU,T3PA,51.74,3288500,170146990.0,1.07,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-21,Auction 4. Period CAP3 PL,T3PA,51.7,2575000,133127500.0,1.53,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-22,Auction 4. Period CAP3 EU,T3PA,51.44,3288500,169160440.0,1.35,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-23,Auction 4. Period DE,T3PA,50.13,2651000,132894630.0,1.43,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-26,Auction 4. Period CAP3 EU,T3PA,51.79,3288500,170311415.0,1.64,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-27,Auction 4. Period CAP3 EU,T3PA,52.8,3288500,173632800.0,1.25,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-28,Auction 4. Period CAP3 PL,T3PA,53.45,2575000,137633750.0,1.74,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-07-29,Auction 4. Period CAP3 EU,T3PA,54.02,3288500,177644770.0,1.45,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
