quantile,horizon,feature,coefficient
0.5,9,y_return_last,0.0
0.5,9,y_last,0.891734277874078
0.5,9,eua_high_last,0.07135085303209243
0.5,9,eua_low_last,0.021013485792200193
0.5,9,eua_volume_last,4.553177559292046e-06
0.5,9,eua_range_last,0.0
0.5,9,eua_range_pct_last,0.0
0.5,9,icap_secondary_last,0.021788997379984548
0.5,9,icap_return_last,0.0
0.5,9,eurusd_last,0.0
0.5,9,brent_price_last,-0.0017315791692252482
0.5,9,y_lag_1,0.0
0.5,9,y_lag_5,0.0
0.5,9,y_lag_10,0.0
0.5,9,y_lag_20,0.0
0.5,9,y_mean_20,0.0
0.5,9,y_std_20,0.0
0.5,10,y_return_last,0.0
0.5,10,y_last,0.9287059392740944
0.5,10,eua_high_last,0.056316055634369894
0.5,10,eua_low_last,0.0
0.5,10,eua_volume_last,5.446211945525756e-06
0.5,10,eua_range_last,0.0
0.5,10,eua_range_pct_last,0.0
0.5,10,icap_secondary_last,0.021847123087541522
0.5,10,icap_return_last,0.0
0.5,10,eurusd_last,0.0
0.5,10,brent_price_last,-0.0024338011590562974
0.5,10,y_lag_1,0.0
0.5,10,y_lag_5,0.0
0.5,10,y_lag_10,0.0
0.5,10,y_lag_20,0.0
0.5,10,y_mean_20,0.0
0.5,10,y_std_20,0.0
0.5,11,y_return_last,0.0
0.5,11,y_last,0.8030074176614002
0.5,11,eua_high_last,0.15448422657932392
0.5,11,eua_low_last,0.02458157625477796
0.5,11,eua_volume_last,6.4488080737242665e-06
0.5,11,eua_range_last,0.0
0.5,11,eua_range_pct_last,0.0
0.5,11,icap_secondary_last,0.02178399378867431
0.5,11,icap_return_last,0.0
0.5,11,eurusd_last,0.0
0.5,11,brent_price_last,-0.0030292906113206764
0.5,11,y_lag_1,0.0
0.5,11,y_lag_5,0.0
0.5,11,y_lag_10,0.0
0.5,11,y_lag_20,0.0
0.5,11,y_mean_20,0.0
0.5,11,y_std_20,0.0
0.5,12,y_return_last,0.0
0.5,12,y_last,0.7597411157439481
0.5,12,eua_high_last,0.10868357930427137
0.5,12,eua_low_last,0.11195018169645216
0.5,12,eua_volume_last,5.355287280216626e-06
0.5,12,eua_range_last,0.0
0.5,12,eua_range_pct_last,0.0
0.5,12,icap_secondary_last,0.025914006346763083
0.5,12,icap_return_last,0.0
0.5,12,eurusd_last,0.0
0.5,12,brent_price_last,-0.002525150318005678
0.5,12,y_lag_1,0.0
0.5,12,y_lag_5,0.0
0.5,12,y_lag_10,0.0
0.5,12,y_lag_20,0.0
0.5,12,y_mean_20,0.0
0.5,12,y_std_20,0.0
0.5,13,y_return_last,0.0
0.5,13,y_last,0.8478417844884936
0.5,13,eua_high_last,0.13253102302827505
0.5,13,eua_low_last,0.004478731022614917
0.5,13,eua_volume_last,5.756030936790241e-06
0.5,13,eua_range_last,0.0
0.5,13,eua_range_pct_last,0.0
0.5,13,icap_secondary_last,0.020012198381216824
0.5,13,icap_return_last,0.0
0.5,13,eurusd_last,0.0
0.5,13,brent_price_last,-0.003060677187345449
0.5,13,y_lag_1,0.0
0.5,13,y_lag_5,0.0
0.5,13,y_lag_10,0.0
0.5,13,y_lag_20,0.0
0.5,13,y_mean_20,0.0
0.5,13,y_std_20,0.0
0.5,14,y_return_last,0.0
0.5,14,y_last,0.8327583297521861
0.5,14,eua_high_last,0.012546295408598083
0.5,14,eua_low_last,0.13473114297834637
0.5,14,eua_volume_last,9.131489057839803e-06
0.5,14,eua_range_last,0.0
0.5,14,eua_range_pct_last,0.0
