feature,family,summary_stat,score,selected_above_threshold
uk_icap_primary_secondary_spread_pct,uk_icap,change_5,0.010969026945531368,True
uka_power_ratio,other,change_20,0.010611879639327526,True
uka_gas_ratio_z20,other,change_5,0.010397211648523808,True
uk_gas_price,energy,change_5,0.010291571728885174,True
uk_power_gas_ratio_z20,energy,change_20,0.009795054793357849,True
uk_gas_vol_5d,energy,change_5,0.009744263254106045,True
eua_range,other,change_5,0.008792395703494549,True
uk_icap_secondary_ffill,uk_icap,change_5,0.008530200459063053,True
auction_price_lag_5,uk_auction,last,0.0075805699452757835,True
uk_icap_primary_lag_5,uk_icap,change_5,0.006980069912970066,True
uka_volume,other,change_5,0.004862664733082056,True
uk_power_gas_spread_z20,energy,change_5,0.00456384988501668,True
uka_gas_ratio_z20,other,change_20,0.004446886479854584,True
uk_icap_dow_cos,uk_icap,std_20,0.004296041559427977,True
uk_icap_spread_lag_1,uk_icap,change_5,0.004182394593954086,True
y_vol_20d,target_derived,change_5,0.0036832524929195642,True
uka_range_pct,other,last,0.0027023006696254015,True
target_volume,target_derived,change_5,0.001850102678872645,True
y_return,target_derived,std_20,0.0017459866357967257,True
uka_range_pct,other,std_20,0.0015185594093054533,True
uk_icap_spread_lag_5,uk_icap,change_5,0.0012790972832590342,True
uk_gas_vol_5d,energy,change_20,0.0011982539435848594,True
uka_gas_return_spread,other,change_20,0.0006517553701996803,True
eua_range_pct,other,last,0.0003514264535624534,True
uka_coal_return_spread,other,last,0.0003190420102328062,True
uk_icap_primary_print_day,uk_icap,change_5,0.00011872484174091369,True
is_auction_day,uk_auction,change_5,5.0556114729261026e-05,True
uka_volume,other,last,3.658239438664168e-05,True
auction_price_eur,uk_auction,last,0.0,False
auction_price_eur,uk_auction,change_5,0.0,False
auction_price_eur,uk_auction,change_20,0.0,False
auction_price_lag_5,uk_auction,change_20,0.0,False
auction_price_rolling_mean_20,uk_auction,change_5,0.0,False
auction_price_rolling_mean_20,uk_auction,change_20,0.0,False
brent_price,energy,change_20,0.0,False
brent_price,energy,std_20,0.0,False
brent_vol_5d,energy,change_5,0.0,False
coal_brent_ratio,energy,std_20,0.0,False
coal_brent_ratio_z20,energy,change_20,0.0,False
coal_brent_return_spread,energy,last,0.0,False
coal_brent_return_spread,energy,std_20,0.0,False
coal_brent_vol_ratio_20d,energy,change_5,0.0,False
coal_brent_vol_ratio_20d,energy,change_20,0.0,False
coal_brent_vol_ratio_20d,energy,std_20,0.0,False
coal_price,energy,last,0.0,False
coal_price,energy,change_5,0.0,False
coal_price,energy,std_20,0.0,False
coal_return,energy,last,0.0,False
coal_return,energy,std_20,0.0,False
coal_vol_20d,energy,last,0.0,False
coal_vol_20d,energy,change_20,0.0,False
coal_vol_20d,energy,std_20,0.0,False
eua_high,other,last,0.0,False
eua_high,other,change_5,0.0,False
eua_high,other,change_20,0.0,False
eua_high,other,std_20,0.0,False
eua_low,other,last,0.0,False
eua_range,other,last,0.0,False
eua_range,other,change_20,0.0,False
eua_range,other,std_20,0.0,False
eua_volume,other,std_20,0.0,False
target_range,target_derived,last,0.0,False
target_range,target_derived,change_20,0.0,False
target_range,target_derived,std_20,0.0,False
target_volume,target_derived,std_20,0.0,False
uk_gas_hdd18_surprise_interaction,energy,last,0.0,False
uk_gas_hdd18_surprise_interaction,energy,change_20,0.0,False
uk_gas_return,energy,last,0.0,False
uk_gas_return,energy,std_20,0.0,False
uk_gas_vol_20d,energy,last,0.0,False
uk_gas_vol_20d,energy,change_5,0.0,False
uk_gas_vol_5d,energy,last,0.0,False
uk_gas_vol_5d,energy,std_20,0.0,False
uk_hdd18,weather,last,0.0,False
uk_hdd18,weather,std_20,0.0,False
uk_hdd18_7d_ma,weather,last,0.0,False
uk_hdd18_surprise,weather,std_20,0.0,False
uk_icap_dow_sin,uk_icap,last,0.0,False
uk_icap_dow_sin,uk_icap,change_5,0.0,False
uk_icap_dow_sin,uk_icap,change_20,0.0,False
uk_icap_primary,uk_icap,change_5,0.0,False
uk_icap_primary_ffill,uk_icap,last,0.0,False
uk_icap_primary_ffill,uk_icap,change_5,0.0,False
uk_icap_primary_ffill,uk_icap,change_20,0.0,False
uk_icap_primary_ffill,uk_icap,std_20,0.0,False
uk_icap_primary_lag_1,uk_icap,change_5,0.0,False
uk_icap_primary_lag_1,uk_icap,change_20,0.0,False
uk_icap_primary_lag_1,uk_icap,std_20,0.0,False
uk_icap_primary_lag_20,uk_icap,change_5,0.0,False
uk_icap_primary_lag_20,uk_icap,std_20,0.0,False
uk_icap_primary_lag_5,uk_icap,last,0.0,False
uk_icap_primary_lag_5,uk_icap,std_20,0.0,False
uk_icap_primary_secondary_spread,uk_icap,last,0.0,False
uk_icap_primary_secondary_spread,uk_icap,change_5,0.0,False
uk_icap_primary_secondary_spread_pct,uk_icap,last,0.0,False
uk_icap_primary_secondary_spread_pct,uk_icap,change_20,0.0,False
uk_icap_primary_secondary_spread_pct,uk_icap,std_20,0.0,False
uk_icap_secondary,uk_icap,change_20,0.0,False
uk_icap_secondary,uk_icap,std_20,0.0,False
uk_icap_secondary_ffill,uk_icap,change_20,0.0,False
uk_icap_secondary_ffill,uk_icap,std_20,0.0,False
uk_icap_secondary_print_day,uk_icap,change_5,0.0,False
uk_icap_spread_lag_1,uk_icap,std_20,0.0,False
uk_icap_spread_lag_20,uk_icap,change_20,0.0,False
uk_icap_spread_z20,uk_icap,last,0.0,False
uk_icap_spread_z20,uk_icap,change_20,0.0,False
uk_icap_spread_z20,uk_icap,std_20,0.0,False
uk_power_gas_ratio,energy,change_5,0.0,False
uk_power_gas_ratio,energy,change_20,0.0,False
uk_power_gas_ratio_z20,energy,last,0.0,False
uk_power_gas_ratio_z20,energy,std_20,0.0,False
uk_power_gas_return_spread,energy,change_20,0.0,False
uk_power_gas_return_spread,energy,std_20,0.0,False
uk_power_gas_spread,energy,std_20,0.0,False
uk_power_hdd18_interaction,energy,change_5,0.0,False
uk_power_hdd18_surprise_interaction,energy,change_5,0.0,False
uk_power_hdd18_surprise_interaction,energy,std_20,0.0,False
uk_power_price,energy,last,0.0,False
uk_power_price,energy,std_20,0.0,False
uk_power_return,energy,last,0.0,False
uk_power_return,energy,std_20,0.0,False
uk_power_vol_20d,energy,last,0.0,False
uk_temp_max_c,weather,std_20,0.0,False
uk_temp_mean_7d_ma,weather,last,0.0,False
uk_temp_mean_7d_ma,weather,std_20,0.0,False
uk_temp_mean_anom,weather,last,0.0,False
uk_temp_mean_anom,weather,change_5,0.0,False
uk_temp_mean_anom,weather,std_20,0.0,False
uk_temp_mean_c,weather,last,0.0,False
uk_temp_min_c,weather,last,0.0,False
uka_brent_ratio,other,change_20,0.0,False
uka_brent_ratio_z20,other,change_5,0.0,False
uka_brent_return_spread,other,last,0.0,False
uka_coal_ratio,other,change_5,0.0,False
uka_coal_ratio,other,change_20,0.0,False
uka_coal_ratio_z20,other,std_20,0.0,False
uka_gas_ratio_z20,other,std_20,0.0,False
uka_gas_return_spread,other,last,0.0,False
uka_gas_return_spread,other,std_20,0.0,False
uka_power_ratio,other,last,0.0,False
uka_power_return_spread,other,last,0.0,False
uka_power_return_spread,other,change_20,0.0,False
uka_range,other,last,0.0,False
uka_range,other,change_20,0.0,False
uka_range,other,std_20,0.0,False
uka_volume,other,std_20,0.0,False
y,target_derived,last,0.0,False
y,target_derived,change_5,0.0,False
y,target_derived,change_20,0.0,False
y,target_derived,std_20,0.0,False
y_ma_20d,target_derived,last,0.0,False
y_ma_20d,target_derived,change_5,0.0,False
y_ma_20d,target_derived,change_20,0.0,False
y_ma_5d,target_derived,last,0.0,False
y_momentum_20d,target_derived,last,0.0,False
y_momentum_5d,target_derived,change_20,0.0,False
y_vol_20d,target_derived,last,0.0,False
