2026-02-28 03:00:05 | INFO     | src.models.tsm | Built Autoformer model with 9463809 parameters
2026-02-28 03:00:11 | INFO     | src.models.tsm | Epoch 1/100 - Train: 1.018601, Val: 1.144779
2026-02-28 03:00:17 | INFO     | src.models.tsm | Epoch 2/100 - Train: 1.017474, Val: 1.151399
2026-02-28 03:00:23 | INFO     | src.models.tsm | Epoch 3/100 - Train: 1.016778, Val: 1.150429
2026-02-28 03:00:28 | INFO     | src.models.tsm | Epoch 4/100 - Train: 1.016249, Val: 1.143737
2026-02-28 03:00:34 | INFO     | src.models.tsm | Epoch 5/100 - Train: 1.014844, Val: 1.146056
2026-02-28 03:00:40 | INFO     | src.models.tsm | Epoch 6/100 - Train: 1.014773, Val: 1.151696
2026-02-28 03:00:45 | INFO     | src.models.tsm | Epoch 7/100 - Train: 1.014302, Val: 1.148917
2026-02-28 03:00:51 | INFO     | src.models.tsm | Epoch 8/100 - Train: 1.013748, Val: 1.145814
2026-02-28 03:00:57 | INFO     | src.models.tsm | Epoch 9/100 - Train: 1.012421, Val: 1.145417
2026-02-28 03:01:03 | INFO     | src.models.tsm | Epoch 10/100 - Train: 1.010978, Val: 1.139698
2026-02-28 03:01:08 | INFO     | src.models.tsm | Epoch 11/100 - Train: 1.010963, Val: 1.143926
2026-02-28 03:01:15 | INFO     | src.models.tsm | Epoch 12/100 - Train: 1.011093, Val: 1.145733
2026-02-28 03:01:22 | INFO     | src.models.tsm | Epoch 13/100 - Train: 1.011203, Val: 1.148614
2026-02-28 03:01:27 | INFO     | src.models.tsm | Epoch 14/100 - Train: 1.009915, Val: 1.148188
2026-02-28 03:01:34 | INFO     | src.models.tsm | Epoch 15/100 - Train: 1.011991, Val: 1.145226
2026-02-28 03:01:41 | INFO     | src.models.tsm | Epoch 16/100 - Train: 1.008949, Val: 1.145912
2026-02-28 03:01:47 | INFO     | src.models.tsm | Epoch 17/100 - Train: 1.008381, Val: 1.146275
2026-02-28 03:01:52 | INFO     | src.models.tsm | Epoch 18/100 - Train: 1.007442, Val: 1.146169
2026-02-28 03:01:58 | INFO     | src.models.tsm | Epoch 19/100 - Train: 1.006554, Val: 1.159571
2026-02-28 03:02:04 | INFO     | src.models.tsm | Epoch 20/100 - Train: 1.007407, Val: 1.146223
2026-02-28 03:02:04 | INFO     | src.models.tsm | Early stopping at epoch 20
2026-02-28 03:02:15 | INFO     | src.frontend_live_bundle | [10/21] Origin 2023-05-09
2026-02-28 03:02:15 | INFO     | src.models.tsm | Building TSM model: type=autoformer, seq_len=120, pred_len=30
2026-02-28 03:02:15 | INFO     | src.models.tsm | Built Autoformer model with 9463809 parameters
2026-02-28 03:02:22 | INFO     | src.models.tsm | Epoch 1/100 - Train: 1.034978, Val: 0.764271
2026-02-28 03:02:28 | INFO     | src.models.tsm | Epoch 2/100 - Train: 1.032983, Val: 0.762789
2026-02-28 03:02:34 | INFO     | src.models.tsm | Epoch 3/100 - Train: 1.032922, Val: 0.761569
2026-02-28 03:02:41 | INFO     | src.models.tsm | Epoch 4/100 - Train: 1.032147, Val: 0.762054
2026-02-28 03:02:46 | INFO     | src.models.tsm | Epoch 5/100 - Train: 1.030623, Val: 0.761358
2026-02-28 03:02:52 | INFO     | src.models.tsm | Epoch 6/100 - Train: 1.030603, Val: 0.760900
