url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,relevance_score,relevance_hits
http://carbon-pulse.com/29856/,,"EU cement industry putting quick profits ahead of emission cuts , argues former executive « Carbon Pulse",2017-02-01 12:30:00+00:00,,carbon-pulse.com,English,France,4,eu_context;carbon_terms=2
http://www.mondovisione.com/media-and-resources/news/eex-trading-results-for-january-2017-eex-increases-volumes-in-power-options-an/,,EEX Trading Results For January 2017,2017-02-01 16:45:00+00:00,,mondovisione.com,English,United States,7,eu_ets_strong;carbon_terms=1
http://pt.euronews.com/2017/02/01/eua-democratas-podem-vetar-nomeacao-de-neil-gorsuch-para-o-supremo-tribunal,,EUA : Democratas podem vetar nomeação de Neil Gorsuch para o Supremo Tribunal,2017-02-01 19:45:00+00:00,http://static.euronews.com/articles/356678/1000x563_356678.jpg,pt.euronews.com,English,United States,6,eu_ets_strong
http://carbon-pulse.com/29889/,,EU Market : EUAs hold on to recent gains as experts diverge on next moves « Carbon Pulse,2017-02-01 21:45:00+00:00,,carbon-pulse.com,English,France,10,eu_ets_strong;eu_context;carbon_terms=2
http://pt.euronews.com/2017/02/01/eua-senado-confirma-o-empresario-rex-tillerson-como-o-proximo-secretario-de,,EUA : Senado confirma Rex Tillerson como secretário de Estado,2017-02-02 00:30:00+00:00,http://static.euronews.com/articles/356701/1000x563_356701.jpg,pt.euronews.com,English,United States,6,eu_ets_strong
http://pt.euronews.com/2017/02/02/eua-conferencista-de-extrema-direita-inflama-confrontos-na-universidade-de,,EUA : Conferencista de extrema,2017-02-02 10:15:00+00:00,http://static.euronews.com/articles/356722/1000x563_356722.jpg,pt.euronews.com,English,United States,6,eu_ets_strong
http://pt.euronews.com/2017/02/02/rex-tillerson-e-agora-secretario-de-estado-dos-eua,,Rex Tillerson é agora secretário de Estado dos EUA,2017-02-02 10:15:00+00:00,http://static.euronews.com/articles/356720/1000x563_356720.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23799037/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23799037/,EEX Auction News : EU Auction,2017-02-02 10:30:00+00:00,,4-traders.com,English,United States,9,eu_ets_strong;eu_context;carbon_terms=1
http://www.cemnet.com/News/story/161006/cembureau-calls-for-maintaining-free-eu-ets-allowances-for-best-performers.html,,Cembureau calls for maintaining free EU ETS allowances for best performers,2017-02-02 11:00:00+00:00,,cemnet.com,English,United States,10,eu_ets_strong;eu_context;carbon_terms=2
http://www.hedgeweek.com/2017/02/02/248224/eex-increases-volumes-power-options-and-agricultural-products,,EEX increases volumes in power options and agricultural products,2017-02-02 11:30:00+00:00,http://www.hedgeweek.com/sites/default/files/imagecache/facebook_200_square/image_library/Graphs/Arrow%20up.jpg,hedgeweek.com,English,United States,7,eu_ets_strong;energy_driver
http://pt.euronews.com/2017/02/02/euaaustralia-refugiados-criam-tensao-entre-aliados,,EUA / Austrália : Refugiados criam tensão entre aliados,2017-02-02 19:45:00+00:00,http://static.euronews.com/articles/356788/1000x563_356788.jpg,pt.euronews.com,English,United States,6,eu_ets_strong
http://www.producer.com/2017/02/will-carbon-tax-reduce-fossil-fuel-use-and-greenhouse-gas-emissions/,,Will carbon tax reduce fossil fuel use and greenhouse gas emissions ? ,2017-02-03 01:00:00+00:00,,producer.com,English,Canada,4,carbon_terms=3;energy_driver
http://pt.euronews.com/2017/02/03/mattis-avisa-coreia-do-norte-de-resposta-eficaz-e-esmagadora-dos-eua,,Mattis avisa Coreia do Norte de resposta  eficaz e esmagadora  dos EUA,2017-02-03 09:15:00+00:00,http://static.euronews.com/articles/356818/1000x563_356818.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
https://www.yahoo.com/news/foreign-flights-slip-under-radar-eu-emissions-limits-110844454--finance.html,https://www.yahoo.com/amphtml/news/foreign-flights-slip-under-radar-eu-emissions-limits-110844454--finance.html,Foreign flights to slip under the radar of EU emissions limits,2017-02-03 11:30:00+00:00,https://s.yimg.com/os/mit/media/m/social/images/social_default_logo-1481777.png,yahoo.com,English,United States,4,eu_context;carbon_terms=2
http://m.kauppalehti.fi/uutiset/reuters-foreign-flights-to-slip-under-the-radar-of-eu-emissions-limits/yYdU6CYc,,REUTERS : Foreign flights to slip under the radar of EU emissions limits,2017-02-03 13:15:00+00:00,,m.kauppalehti.fi,English,Finland,4,eu_context;carbon_terms=2
https://www.neweurope.eu/press-release/the-eu-tackles-growing-aviation-emissions/,,The EU tackles growing aviation emissions,2017-02-03 14:15:00+00:00,https://www.neweurope.eu/wp-content/uploads/2015/09/111InTheNews.jpg,neweurope.eu,English,,4,eu_context;carbon_terms=2
http://www.4-traders.com/news/No-to-discrimination-Chemical-industry-calls-for-fair-emissions-trading-system--23809387/,http://www.4-traders.com/amp/news/No-to-discrimination-Chemical-industry-calls-for-fair-emissions-trading-system--23809387/,No to discrimination : Chemical industry calls for fair emissions trading system,2017-02-03 16:00:00+00:00,,4-traders.com,English,United States,9,eu_ets_strong;carbon_terms=3
http://pt.euronews.com/2017/02/03/forte-criacao-de-empregos-nos-eua-e-japao-pode-dar-uma-ajuda-adicional,,Forte criação de empregos nos EUA e Japão pode dar uma ajuda adicional,2017-02-03 16:45:00+00:00,http://static.euronews.com/articles/356879/1000x563_356879.jpg,pt.euronews.com,English,United States,8,eu_ets_strong;eu_context
http://english.sina.com/news/2017-02-04/detail-ifyaexzn8849183.shtml,,European Commission to tackle aviation emissions,2017-02-03 18:00:00+00:00,,english.sina.com,English,China,4,eu_context;carbon_terms=2
